:START_ID,:END_ID,:TYPE
0,1,R
0,2,R
0,3,R
0,4,R
0,5,R
0,6,R
0,7,R
0,8,R
0,9,R
0,10,R
0,11,R
0,12,R
0,13,R
0,14,R
0,15,R
0,16,R
0,17,R
0,18,R
0,19,R
0,20,R
0,21,R
0,22,R
0,23,R
0,24,R
0,25,R
0,26,R
1,2,R
1,3,R
1,4,R
1,5,R
1,27,R
1,28,R
1,29,R
1,30,R
1,31,R
2,3,R
2,4,R
2,5,R
2,32,R
2,33,R
2,34,R
2,35,R
2,36,R
2,37,R
2,38,R
2,39,R
2,40,R
2,41,R
2,42,R
2,43,R
3,4,R
3,5,R
3,44,R
3,45,R
3,46,R
4,5,R
4,47,R
4,48,R
4,49,R
4,50,R
4,51,R
4,52,R
4,53,R
4,54,R
4,55,R
4,56,R
4,57,R
4,58,R
4,59,R
4,60,R
4,61,R
4,62,R
4,63,R
4,64,R
4,65,R
4,66,R
4,67,R
4,68,R
4,69,R
5,70,R
5,71,R
5,72,R
5,73,R
5,74,R
5,75,R
5,76,R
5,77,R
5,78,R
5,79,R
5,80,R
5,81,R
5,82,R
5,83,R
